srcport,dstport,protocol,packets,bytes,duration,anomaly
34956,3389,17,300,48900,82,0
36542,3389,17,43,28681,71,0
64374,3389,6,463,35188,88,1
42907,80,6,332,342292,106,0
27796,53,17,440,513480,42,0
54130,443,6,340,152660,111,0
49872,3389,17,180,48240,62,0
44956,53,6,12,13428,120,0
30745,53,17,5,6685,60,0
35674,80,6,21,25389,83,0
41818,443,17,44,47916,92,0
17818,443,6,75,103500,82,0
35499,3389,17,109,66708,110,0
48460,443,6,245,263130,120,0
12892,443,17,224,302400,111,0
29202,53,6,95,115235,92,0
49968,443,6,33,21747,116,0
39443,80,17,230,35190,73,0
34064,443,17,499,41916,113,0
4844,3389,6,137,125766,111,1
16259,22,6,310,128030,115,0
20880,443,17,402,402804,63,0
51820,3389,17,405,215460,78,0
5499,53,17,94,7238,56,0
32185,53,17,246,23124,111,0
40937,80,17,236,193520,84,0
40866,3389,6,82,66420,114,0
42240,80,6,109,127639,104,0
65219,80,17,465,399900,72,0
62272,3389,17,126,40950,120,0
37530,53,17,384,380928,50,0
44858,53,6,94,114210,86,0
64001,22,6,427,232288,87,0
56050,80,6,473,267718,107,0
43178,53,6,162,40500,50,0
40846,443,17,252,269892,45,0
33280,3389,17,488,489464,118,1
7288,443,6,198,143748,84,0
51728,443,17,287,92701,102,0
28995,80,17,453,277689,56,0
37580,80,17,172,83076,38,0
6295,22,17,285,349695,54,0
61872,22,6,264,196152,67,0
4761,22,6,411,387984,49,0
36178,80,17,288,168192,89,0
30943,443,17,355,226135,38,0
57792,3389,17,473,126291,48,0
48871,443,6,17,11560,117,0
3460,3389,6,387,387000,100,1
63173,3389,17,262,367062,47,0
21318,80,17,115,143520,44,0
28790,3389,6,384,151680,72,0
4665,443,17,336,257376,119,0
61980,443,17,352,507936,85,0
2119,22,6,146,107894,66,0
55607,53,17,447,336144,95,0
56533,443,17,420,552300,41,0
26069,22,6,389,497531,60,0
43870,53,17,153,125001,89,0
45515,80,17,476,87584,107,0
30170,53,17,127,77597,61,0
28860,53,6,316,410800,107,0
27590,22,17,206,219390,95,0
61612,3389,17,189,181251,104,0
39592,80,6,280,213920,118,0
33855,53,17,142,10650,32,0
60205,80,17,51,34935,31,0
31830,443,17,176,229152,112,0
4322,80,17,312,359424,116,0
13801,3389,17,372,466488,68,0
24809,443,17,482,433800,30,1
27252,80,17,271,125473,110,0
49358,3389,6,421,445418,95,0
46032,80,17,354,498432,107,0
50565,22,17,187,53856,83,0
11499,443,6,237,222069,56,0
51560,22,6,426,249210,61,0
9772,22,17,102,87312,30,0
47651,22,17,149,147212,70,0
31169,80,6,33,48642,75,0
62129,53,6,76,7068,90,0
63836,80,6,80,72080,30,0
13753,443,6,105,114345,69,0
1244,22,17,292,260464,119,0
5656,443,6,246,359160,64,0
15472,3389,17,54,77760,89,0
10312,22,17,127,23622,53,0
47374,80,6,203,196504,78,0
42882,80,6,332,430936,31,0
28980,3389,17,415,85905,107,0
18556,53,6,461,490504,110,0
5295,80,6,315,283185,59,0
46555,22,6,280,374360,118,0
18564,80,17,157,81797,30,0
50195,53,6,50,38400,51,0
3820,80,17,296,372072,67,0
39189,80,17,136,173536,90,0
25399,3389,17,330,378180,115,0
38761,53,6,468,617292,112,0
22258,80,6,481,555074,54,0
36199,22,17,49,69286,55,0
27976,22,6,161,6762,43,0
10519,80,6,453,321177,106,0
55826,22,17,452,569520,76,0
41850,443,6,416,463008,93,0
50989,53,6,235,306675,77,0
51081,443,6,150,56250,93,0
18458,53,17,357,534072,33,0
2815,53,17,214,252306,50,0
28785,53,6,118,169094,50,0
58198,443,17,51,12903,42,0
42145,3389,6,3,2964,97,1
26050,80,6,397,390251,87,0
5818,53,6,352,60192,108,0
33520,3389,17,440,99880,41,0
22786,22,6,241,315710,107,0
30714,3389,6,121,104786,99,0
64256,22,6,388,547080,43,0
55074,22,17,248,297104,70,0
22709,22,6,262,277196,83,0
5119,80,6,169,121004,66,0
17194,443,17,55,27885,67,0
57936,53,6,115,75325,80,0
9118,80,17,425,305150,93,0
39534,80,6,378,92988,63,0
7767,53,6,430,277780,115,0
61000,443,17,34,34986,43,0
29584,3389,6,418,259996,108,0
1225,3389,17,129,193242,114,1
61833,3389,17,384,460800,47,1
10817,3389,6,168,102648,66,0
41180,22,17,382,208954,75,0
35303,3389,6,52,65832,38,0
24276,80,6,438,55188,77,0
41889,443,6,466,111840,31,0
27348,80,6,418,224048,33,0
45030,80,6,44,35288,82,0
36495,80,6,33,44715,97,0
63702,53,17,418,61864,32,0
63971,3389,17,333,333666,106,0
29033,443,6,473,629090,87,0
58015,443,17,58,55100,104,0
62303,22,6,349,137157,54,0
54028,53,6,213,17892,43,0
27861,443,17,357,106029,70,0
55521,80,17,342,449388,47,0
58399,53,6,260,224900,62,0
23014,53,6,426,529944,103,0
29971,22,6,346,399630,77,0
32965,443,6,29,4698,81,0
7439,443,17,405,449955,32,0
9815,53,6,312,70824,89,0
39373,22,6,163,102853,94,0
32644,22,17,243,226476,44,0
62597,443,17,53,67734,93,0
28605,22,17,260,82680,97,0
58363,3389,17,164,98564,41,0
31235,80,6,361,316597,53,0
23920,443,6,85,90355,113,0
61108,443,17,304,225264,78,0
60570,3389,6,259,338513,53,0
61070,3389,17,73,101032,106,0
3265,3389,6,110,93060,58,0
62367,443,6,81,89667,31,0
27221,22,6,312,443352,105,0
63465,80,17,37,15318,91,0
45257,443,17,326,217442,37,0
29556,80,6,264,77616,41,0
23752,22,17,298,166880,105,0
53287,53,6,148,13320,71,0
57666,3389,17,98,54390,40,0
3828,53,17,258,35862,78,0
11328,443,6,267,74226,79,0
18947,3389,17,291,362004,68,0
32177,443,6,133,12502,99,0
7196,80,6,40,11440,101,0
40054,443,6,169,34307,50,0
5124,53,6,191,110971,34,0
8648,80,6,28,5432,55,0
33268,22,17,71,49558,69,0
34149,80,17,274,191526,54,0
61936,53,6,128,189952,66,0
46964,22,6,357,184569,52,0
13972,3389,6,362,300098,84,0
5360,80,17,440,412280,57,0
60980,3389,17,481,455988,41,1
52716,3389,17,428,184896,51,0
29031,22,17,182,114114,116,0
53932,80,17,246,347106,53,0
39697,80,6,168,247800,89,0
6066,80,17,18,12132,120,0
2454,53,6,151,208229,64,0
27707,80,6,427,304878,37,0
20651,443,6,81,64719,78,0
57452,3389,6,40,22280,45,1
60236,53,6,290,322480,87,0
53260,53,6,36,2880,64,0
1445,80,6,90,4860,30,0
48006,80,6,131,157986,54,0
49366,53,17,92,122728,92,0
31481,22,17,94,117782,41,0
56937,22,17,76,73796,47,0
23239,22,17,212,246768,44,0
21455,53,17,365,237980,75,0
54267,80,6,206,191786,116,0
7717,80,17,352,157696,45,0
26203,22,6,93,122946,114,0
59324,3389,17,485,388000,118,1
61529,53,17,130,7150,33,0
34535,22,17,451,41943,117,0
28737,443,17,369,27675,43,0
4250,53,17,341,343046,117,0
22711,443,6,110,73480,115,0
57225,3389,17,472,625872,45,1
2750,3389,17,214,226840,118,1
36421,443,17,356,332504,50,0
8245,22,17,237,56643,104,0
58652,3389,17,460,21620,116,1
18764,53,17,218,87418,39,0
5220,22,17,125,87625,52,0
36506,80,6,305,164395,58,0
55420,80,6,342,303012,64,0
40557,80,17,364,271180,94,0
38278,3389,6,212,102820,41,0
4930,3389,17,264,203808,110,0
64103,80,6,496,274288,78,0
61895,80,6,300,21300,73,0
43659,22,17,342,422028,52,0
32379,80,17,423,367164,79,0
34669,53,6,497,95424,94,0
24722,80,17,209,152152,65,0
60269,53,17,1,212,61,0
35824,3389,6,251,73543,70,0
38748,22,17,357,61047,46,0
14431,3389,6,272,134912,55,0
53978,80,17,66,88770,31,0
52268,3389,17,29,5220,47,0
17140,80,6,356,89712,73,0
18489,22,6,400,144000,117,0
50886,3389,6,383,301804,86,0
26190,443,17,20,23260,104,0
8126,443,17,370,499500,48,0
64541,3389,6,450,369000,97,1
44001,22,17,452,347588,76,0
8880,3389,17,124,92876,36,0
8316,443,17,383,181542,71,0
58515,22,6,137,174401,85,0
1320,22,17,158,107440,59,0
32655,3389,6,487,214767,118,1
30069,443,6,348,95004,118,0
54947,3389,17,66,8184,65,0
37035,3389,6,447,459963,72,0
27643,80,17,21,16548,70,0
2372,443,17,488,462136,43,0
28194,22,17,219,270027,56,0
2158,443,17,498,444714,91,0
21115,3389,17,119,65331,60,0
40949,53,17,354,32214,68,0
58777,53,6,222,78588,54,0
59184,3389,6,466,112306,58,1
52843,443,17,228,310080,80,0
12654,443,17,435,282315,93,0
41689,80,6,8,5952,51,0
38503,443,6,138,47748,79,0
25098,80,6,2,580,54,0
36821,3389,6,347,302931,71,0
42936,22,17,136,134640,110,0
60503,3389,17,112,69888,108,0
21645,443,6,17,8755,61,0
54858,80,17,244,155672,74,0
41298,80,17,398,250740,34,0
63604,22,17,190,145540,34,0
18675,80,6,20,980,86,0
54762,3389,17,191,171900,71,0
28683,443,17,413,37583,83,0
30016,3389,6,409,519021,51,1
48452,80,6,21,12810,39,0
39051,443,6,191,239132,93,0
12095,443,6,458,136942,120,0
13688,53,6,198,297000,45,0
63790,443,6,366,521916,81,0
63878,22,6,275,389675,57,0
33059,80,17,233,82016,92,0
39848,443,17,417,549606,66,0
34979,443,6,440,95040,61,0
9183,443,17,232,81896,68,0
43051,443,6,140,70280,104,0
8635,443,17,59,43424,119,0
34403,3389,17,459,165240,70,0
59887,443,6,62,63178,34,0
53591,22,6,456,411768,65,0
37724,80,17,115,62330,78,0
39287,22,6,12,6876,104,0
34402,80,17,79,86505,43,0
3126,3389,6,306,82926,57,0
8162,53,6,87,31668,80,0
42554,443,6,398,435810,93,0
19515,53,17,372,547212,56,0
8992,80,17,149,93870,60,0
37724,53,6,458,608682,55,0
60908,80,17,366,386862,114,0
2329,443,6,166,224432,110,0
20695,80,6,70,74480,107,0
21044,80,6,107,12733,110,0
38584,80,17,123,41205,55,0
50612,53,6,196,86828,87,0
1946,22,17,413,317597,89,0
49476,22,17,142,80230,30,0
54660,80,17,319,106865,93,0
58926,53,17,186,267282,89,0
32911,443,6,365,276670,71,0
64616,80,17,245,23030,76,0
22130,443,6,120,49200,30,0
12669,53,17,338,67600,30,0
20785,3389,17,290,29000,77,0
4581,22,6,455,559650,83,0
45898,53,17,180,201420,49,0
28575,22,17,161,61985,115,0
40146,443,6,375,403125,46,0
62230,22,17,80,31040,56,0
55954,80,17,85,8245,117,0
14437,80,17,330,456720,48,0
8262,22,6,53,50774,63,0
5194,3389,17,331,369396,95,0
2592,53,6,305,421205,113,0
6281,53,6,265,302100,38,0
1766,3389,17,298,50660,83,0
23269,3389,6,130,92430,90,0
48361,22,17,478,425898,65,0
17091,443,17,207,211140,95,0
48866,443,6,44,48136,64,0
62810,22,6,282,372522,96,0
37734,80,17,63,66213,75,0
61104,3389,6,201,281199,77,0
10498,443,6,486,196344,38,0
38033,53,17,493,634984,33,1
60514,443,17,317,119826,65,0
50776,443,17,224,52640,93,0
30443,22,6,289,316455,108,0
37727,80,6,401,217342,104,0
33661,80,17,444,230880,50,0
45759,53,6,122,5124,70,0
39259,3389,6,379,174719,58,0
34789,3389,6,180,67860,31,0
11490,443,17,425,269875,107,0
13378,53,6,428,313724,58,0
11032,53,6,69,53406,74,0
22943,53,17,434,145824,79,0
51384,443,6,442,425646,106,0
36818,443,6,90,4860,42,0
50605,80,17,113,154245,96,0
54709,3389,6,497,245021,104,1
33961,80,6,158,76472,107,0
38773,443,17,464,586496,118,1
50959,443,6,141,96021,77,0
19034,3389,17,56,49336,49,0
29225,22,17,455,658385,50,0
41196,53,6,362,195480,109,0
33361,443,6,416,413088,47,0
32858,80,6,294,281358,91,0
1907,3389,6,355,192055,65,0
62979,53,17,143,151437,33,0
36293,3389,17,425,98175,47,0
40796,80,6,185,88985,88,0
46696,22,6,407,598697,104,0
59638,53,6,426,413220,67,0
56467,53,17,86,72670,53,0
29935,22,17,393,538803,104,0
47210,3389,6,255,255000,46,0
38546,22,17,198,56628,52,0
4506,3389,17,216,235224,77,0
35138,3389,6,83,46148,76,0
3665,53,6,371,328335,92,0
52192,3389,17,169,26026,85,0
47917,3389,17,370,91390,79,0
20408,80,6,142,147680,59,0
18206,80,17,64,79168,109,0
38191,443,6,10,1070,37,0
52052,3389,6,178,194376,100,0
61765,80,17,11,2838,35,0
58483,80,17,174,87870,33,0
57891,80,6,147,11613,44,0
30264,3389,6,315,292950,96,0
4796,80,6,382,198640,93,0
51800,53,6,31,29264,115,0
40335,22,17,172,235984,54,0
23518,22,17,234,334152,69,0
20263,80,17,237,296961,65,0
49663,80,17,207,176364,71,0
61862,3389,17,456,137256,68,0
36610,80,17,69,10695,40,0
56113,22,6,28,6944,64,0
44977,443,6,62,5084,41,0
56591,80,6,177,179832,74,0
14674,80,6,339,33222,35,0
46821,3389,17,492,350304,52,0
17934,443,17,4,892,115,0
22303,53,17,268,113364,117,0
42855,443,6,439,284911,49,0
54872,80,17,49,11466,63,0
19535,3389,17,308,88088,100,0
52289,80,17,142,188008,110,0
4101,53,6,220,103400,92,0
51497,53,6,413,480732,34,0
6114,80,6,439,356029,58,0
54351,53,17,413,206087,64,0
22642,53,17,21,29778,48,0
44525,22,6,489,503181,118,0
51567,3389,6,20,19900,102,1
45269,3389,17,202,47066,99,0
25406,80,17,498,39840,70,0
47847,53,6,74,72150,95,0
53048,22,17,147,117894,48,0
4238,80,6,108,43524,76,0
63267,443,17,120,128280,75,0
14967,443,17,191,193292,59,0
64350,53,6,278,17514,84,0
43961,443,17,66,64020,31,0
38738,443,17,209,129371,92,0
61192,53,6,225,38475,91,0
20852,53,6,203,282779,63,0
33551,53,17,281,107342,54,0
2224,80,6,113,54692,81,0
56047,443,6,248,35464,73,0
62321,80,17,29,12876,69,0
56145,53,6,204,177888,70,0
3956,80,6,302,156134,117,0
33377,53,6,360,519480,58,0
63373,3389,6,246,202458,67,0
29859,3389,6,166,106406,46,0
26281,53,6,297,115236,35,0
45839,22,17,444,80364,118,0
2671,3389,6,275,295900,60,0
11216,22,17,417,104667,88,0
51388,443,17,446,349664,36,0
59349,80,17,41,40426,114,0
29973,3389,17,388,573076,34,1
62197,80,17,174,158166,89,0
39878,80,6,181,218286,59,0
1694,3389,6,335,142375,73,0
62356,22,6,321,96621,115,0
60670,80,17,290,19430,71,0
27854,443,17,250,183750,53,0
16691,443,6,246,353748,112,0
24753,443,6,6,4740,96,0
40560,3389,17,302,258814,116,0
65535,22,6,72,22320,83,0
21225,443,6,370,54390,97,0
1249,22,6,188,274292,71,0
40077,3389,6,153,228123,79,0
37248,22,6,310,311550,85,0
24339,53,17,270,219510,85,0
53984,80,6,38,5510,90,0
26714,3389,6,445,248310,41,0
64461,80,17,379,173961,107,0
63279,22,17,289,267036,120,0
53258,53,17,467,417031,52,0
38638,22,17,38,17784,89,0
32220,22,6,155,106640,32,0
52687,443,17,218,201868,60,0
34886,22,17,268,83884,116,0
19066,80,6,389,434124,116,0
33191,53,17,112,32368,103,0
27712,53,6,301,447888,33,0
18840,3389,6,305,52765,101,0
45300,3389,17,42,13482,82,0
53294,80,6,127,185039,96,0
34016,53,17,107,56924,45,0
61876,80,17,382,61120,93,0
40584,53,17,415,329510,117,0
64966,53,6,445,173550,68,0
11745,443,6,373,59680,96,0
45052,443,6,416,477568,66,0
48024,80,17,438,549690,49,0
25122,443,6,8,8928,94,0
41088,53,6,102,92412,63,0
7993,22,6,162,94284,102,0
57079,80,17,434,529914,118,0
44768,443,6,348,214368,91,0
10673,3389,6,291,218541,48,0
23255,22,6,289,193630,54,0
32229,80,17,402,457878,95,0
28041,3389,17,318,33390,104,0
15266,3389,6,438,189216,66,0
18169,53,17,2,1396,36,0
16666,22,17,206,154294,110,0
21962,80,17,380,367840,62,0
42816,80,17,281,227610,107,0
41587,53,6,196,53116,104,0
3274,3389,6,258,158154,71,0
51610,22,17,475,329650,49,0
1701,3389,17,191,110780,36,0
3494,443,6,386,448532,105,0
3034,3389,6,79,88638,45,1
56385,80,17,246,87822,104,0
9730,80,17,187,27676,55,0
52123,80,17,408,347208,58,0
9206,53,17,230,209300,52,0
15217,22,17,458,102592,60,0
23146,22,6,219,146730,66,0
39961,22,6,459,152847,119,0
47712,53,6,342,141930,114,0
40166,3389,17,461,86207,118,1
3034,53,17,109,57661,59,0
6988,3389,17,256,249088,99,0
57909,3389,17,306,357102,71,0
11969,22,6,258,216204,112,0
45857,80,6,122,128832,35,0
64919,53,6,227,266271,114,0
43765,22,6,487,473851,103,0
8298,22,17,347,118327,91,0
44694,80,6,339,422394,72,0
9081,22,17,308,251328,52,0
52434,53,17,473,497123,109,0
50177,53,17,198,136224,96,0
17646,53,17,16,6288,108,0
38426,3389,6,411,427029,79,0
51070,22,6,472,110920,43,0
2601,22,17,287,177366,67,0
2732,22,6,67,57754,47,0
57475,22,6,137,153166,57,0
43676,22,17,477,629163,57,0
50878,443,6,21,19404,104,0
44535,443,6,339,268488,38,0
65261,80,17,319,454575,118,0
43793,443,17,345,297045,89,0
35502,22,6,161,99981,37,0
63478,80,6,451,573672,65,0
7076,80,6,386,84148,60,0
15030,53,6,187,40392,89,0
20356,22,6,351,462267,93,0
47044,22,6,239,309266,109,0
37516,53,17,88,129624,74,0
31023,22,6,86,82388,45,0
46675,443,17,374,205700,93,0
30217,53,6,266,105070,95,0
29358,3389,17,173,133383,61,0
36661,3389,17,31,36673,101,0
45770,3389,17,466,500484,92,1
49459,443,6,423,243225,72,0
40252,3389,17,206,224540,43,0
44364,3389,17,48,55536,89,0
22241,80,6,321,108498,104,0
53206,443,6,140,189840,60,0
22018,22,6,90,132480,60,0
46250,53,17,393,401253,60,0
55451,443,6,368,310592,44,0
37637,53,6,18,5094,46,0
37591,3389,6,248,163680,58,0
15259,80,17,409,164827,110,0
19370,80,17,256,20224,114,0
1045,443,6,228,99180,100,0
64207,3389,17,62,77252,107,0
48231,80,17,342,502056,33,0
15074,80,6,195,23400,105,0
50406,53,6,424,223448,116,0
3934,443,6,18,5508,36,1
10621,53,6,489,144255,71,0
30199,3389,6,277,362039,50,0
26797,443,17,144,58464,116,0
48555,22,17,198,62568,108,0
26203,443,6,309,43260,71,0
34263,80,6,229,265640,103,0
37542,53,17,157,49612,113,0
43363,53,17,311,152390,105,0
42569,53,17,378,112266,68,0
32710,22,6,136,132736,109,0
10904,53,17,117,76752,114,0
33214,80,17,273,366093,51,0
60642,22,6,188,221276,32,0
60222,80,17,393,31047,91,0
38471,22,17,286,48334,62,0
17115,3389,6,461,188088,111,0
32519,3389,17,431,290925,41,0
47084,80,6,352,137280,69,0
65466,3389,17,409,313703,67,1
43507,3389,6,443,123597,104,0
13830,22,6,73,55699,63,0
51115,443,6,225,100125,48,0
18596,80,6,477,506574,31,0
5656,443,6,167,111890,114,0
39391,3389,17,112,161504,99,0
6330,53,6,202,49692,77,0
50439,22,17,434,134974,48,0
7941,3389,6,70,44380,100,0
9143,22,17,420,412020,110,0
15972,3389,17,41,19352,114,1
53407,443,6,375,538875,38,0
62256,443,6,386,145522,106,0
45553,22,6,299,220961,118,0
41248,443,6,327,336483,88,0
8525,22,17,494,80522,56,0
3148,3389,6,303,207555,55,0
7838,53,6,352,474496,67,0
39472,3389,6,80,43680,84,0
22914,443,17,185,84730,79,0
11584,443,6,202,206444,31,0
17901,443,17,469,678643,50,1
63656,53,6,16,13056,39,0
54088,22,17,250,212000,31,0
37869,3389,17,165,151140,92,0
44221,80,6,192,145344,65,0
38896,53,6,296,345432,92,0
32494,22,6,60,43020,70,0
16884,3389,17,79,77578,61,0
41569,80,6,27,16875,53,0
20611,53,6,497,395115,68,0
19476,53,6,364,455364,64,0
29995,53,6,185,88060,64,0
36833,443,17,262,346102,72,0
10619,443,6,491,332407,97,0
47124,443,6,356,279104,41,0
51508,53,17,479,249559,76,0
44502,22,6,396,214632,46,0
48886,443,6,450,270900,117,0
57082,53,6,283,74712,101,0
7196,22,6,58,72036,98,0
13424,3389,6,212,49396,81,0
22728,22,17,256,104192,71,0
63911,80,6,273,216216,33,0
40962,22,17,80,91120,110,0
24879,443,17,266,362558,109,0
20246,22,6,426,505662,34,0
34754,3389,6,164,232224,85,0
26284,22,6,346,66432,103,0
32100,22,6,449,503778,76,0
61372,22,17,459,405297,55,0
41672,53,17,313,434444,40,0
47999,3389,6,7,5901,67,1
26781,22,17,132,126588,98,0
7181,80,17,243,241542,34,0
27512,80,6,271,220323,47,0
1231,22,6,325,143000,71,0
26482,443,6,316,144096,108,0
23370,53,17,19,20083,51,0
42469,80,17,382,553518,95,0
23903,3389,17,410,87740,84,0
33149,80,6,81,56214,104,0
23954,80,6,311,168873,30,0
3820,3389,17,432,35424,91,1
35182,443,17,412,434248,48,0
13211,443,6,251,42921,56,0
13555,443,17,150,186750,65,0
19765,80,17,242,94622,65,0
38323,53,17,170,179350,39,0
65394,22,6,221,93041,39,0
50077,3389,17,268,175808,87,0
52316,80,17,143,182039,113,0
46408,443,17,21,22575,77,0
22917,80,6,110,104280,67,0
31705,22,6,341,238359,99,0
36766,80,6,223,241955,46,0
3109,443,17,438,577284,47,1
18368,443,6,398,211338,66,0
56795,3389,17,79,47400,66,0
28853,22,17,284,44588,70,0
21655,53,6,212,82468,110,0
56610,53,6,204,139740,55,0
2560,80,6,52,49192,59,0
52107,80,6,315,372330,71,0
27985,80,6,345,465060,54,0
28624,3389,17,46,33902,48,0
38658,22,6,57,16986,60,0
57051,443,17,479,255786,56,0
40780,22,6,301,364812,57,0
30796,443,6,103,54075,100,0
27772,80,17,230,332580,115,0
61841,80,6,272,346528,85,0
36087,53,6,372,291276,51,0
24912,3389,17,488,696376,49,1
60693,22,17,207,94185,105,0
54077,3389,17,50,8700,41,0
60386,22,17,103,101867,56,0
37599,22,6,376,202288,70,0
54499,22,17,247,206739,50,0
49974,443,6,15,20955,46,0
59302,443,6,236,329456,107,0
51494,22,17,12,10320,113,0
61820,3389,17,194,283046,78,0
35577,443,17,69,42435,32,0
50281,22,6,11,11473,46,0
39350,3389,17,96,50016,82,0
36427,22,6,292,385148,73,0
52222,3389,17,74,48322,69,0
48775,80,17,55,47575,74,0
8940,443,17,33,31911,80,0
20682,53,17,208,104624,63,0
57275,443,17,392,397096,38,0
16479,53,6,81,120852,72,0
47391,443,17,356,171236,63,0
