srcport,dstport,protocol,packets,bytes,duration
27005,443,6,414,494730,111
58496,3389,17,404,498132,50
55545,443,6,294,388962,45
4079,53,6,498,136452,34
26683,3389,17,365,506620,70
24668,443,6,83,8632,52
60257,3389,17,127,151511,78
11367,53,17,141,106596,31
61214,443,6,369,160515,94
34956,3389,17,300,48900,82
36542,3389,17,43,28681,71
64374,3389,6,463,35188,88
42907,80,6,332,342292,106
27796,53,17,440,513480,42
54130,443,6,340,152660,111
49872,3389,17,180,48240,62
44956,53,6,12,13428,120
30745,53,17,5,6685,60
35674,80,6,21,25389,83
41818,443,17,44,47916,92
17818,443,6,75,103500,82
35499,3389,17,109,66708,110
48460,443,6,245,263130,120
12892,443,17,224,302400,111
29202,53,6,95,115235,92
49968,443,6,33,21747,116
39443,80,17,230,35190,73
34064,443,17,499,41916,113
4844,3389,6,137,125766,111
16259,22,6,310,128030,115
20880,443,17,402,402804,63
51820,3389,17,405,215460,78
5499,53,17,94,7238,56
32185,53,17,246,23124,111
40937,80,17,236,193520,84
40866,3389,6,82,66420,114
42240,80,6,109,127639,104
65219,80,17,465,399900,72
62272,3389,17,126,40950,120
37530,53,17,384,380928,50
44858,53,6,94,114210,86
64001,22,6,427,232288,87
56050,80,6,473,267718,107
43178,53,6,162,40500,50
40846,443,17,252,269892,45
33280,3389,17,488,489464,118
7288,443,6,198,143748,84
51728,443,17,287,92701,102
28995,80,17,453,277689,56
37580,80,17,172,83076,38
6295,22,17,285,349695,54
61872,22,6,264,196152,67
4761,22,6,411,387984,49
36178,80,17,288,168192,89
30943,443,17,355,226135,38
57792,3389,17,473,126291,48
48871,443,6,17,11560,117
3460,3389,6,387,387000,100
63173,3389,17,262,367062,47
21318,80,17,115,143520,44
28790,3389,6,384,151680,72
4665,443,17,336,257376,119
61980,443,17,352,507936,85
2119,22,6,146,107894,66
55607,53,17,447,336144,95
56533,443,17,420,552300,41
26069,22,6,389,497531,60
43870,53,17,153,125001,89
45515,80,17,476,87584,107
30170,53,17,127,77597,61
28860,53,6,316,410800,107
27590,22,17,206,219390,95
61612,3389,17,189,181251,104
39592,80,6,280,213920,118
33855,53,17,142,10650,32
60205,80,17,51,34935,31
31830,443,17,176,229152,112
4322,80,17,312,359424,116
13801,3389,17,372,466488,68
24809,443,17,482,433800,30
27252,80,17,271,125473,110
49358,3389,6,421,445418,95
46032,80,17,354,498432,107
50565,22,17,187,53856,83
11499,443,6,237,222069,56
51560,22,6,426,249210,61
9772,22,17,102,87312,30
47651,22,17,149,147212,70
31169,80,6,33,48642,75
62129,53,6,76,7068,90
63836,80,6,80,72080,30
13753,443,6,105,114345,69
1244,22,17,292,260464,119
5656,443,6,246,359160,64
15472,3389,17,54,77760,89
10312,22,17,127,23622,53
47374,80,6,203,196504,78
42882,80,6,332,430936,31
28980,3389,17,415,85905,107
18556,53,6,461,490504,110
5295,80,6,315,283185,59
46555,22,6,280,374360,118
18564,80,17,157,81797,30
50195,53,6,50,38400,51
3820,80,17,296,372072,67
39189,80,17,136,173536,90
25399,3389,17,330,378180,115
38761,53,6,468,617292,112
22258,80,6,481,555074,54
36199,22,17,49,69286,55
27976,22,6,161,6762,43
10519,80,6,453,321177,106
55826,22,17,452,569520,76
41850,443,6,416,463008,93
50989,53,6,235,306675,77
51081,443,6,150,56250,93
18458,53,17,357,534072,33
2815,53,17,214,252306,50
28785,53,6,118,169094,50
58198,443,17,51,12903,42
42145,3389,6,3,2964,97
26050,80,6,397,390251,87
5818,53,6,352,60192,108
33520,3389,17,440,99880,41
22786,22,6,241,315710,107
30714,3389,6,121,104786,99
64256,22,6,388,547080,43
55074,22,17,248,297104,70
22709,22,6,262,277196,83
5119,80,6,169,121004,66
17194,443,17,55,27885,67
57936,53,6,115,75325,80
9118,80,17,425,305150,93
39534,80,6,378,92988,63
7767,53,6,430,277780,115
61000,443,17,34,34986,43
29584,3389,6,418,259996,108
1225,3389,17,129,193242,114
61833,3389,17,384,460800,47
10817,3389,6,168,102648,66
41180,22,17,382,208954,75
35303,3389,6,52,65832,38
24276,80,6,438,55188,77
41889,443,6,466,111840,31
27348,80,6,418,224048,33
45030,80,6,44,35288,82
36495,80,6,33,44715,97
63702,53,17,418,61864,32
63971,3389,17,333,333666,106
29033,443,6,473,629090,87
58015,443,17,58,55100,104
62303,22,6,349,137157,54
54028,53,6,213,17892,43
27861,443,17,357,106029,70
55521,80,17,342,449388,47
58399,53,6,260,224900,62
23014,53,6,426,529944,103
29971,22,6,346,399630,77
32965,443,6,29,4698,81
7439,443,17,405,449955,32
9815,53,6,312,70824,89
39373,22,6,163,102853,94
32644,22,17,243,226476,44
62597,443,17,53,67734,93
28605,22,17,260,82680,97
58363,3389,17,164,98564,41
31235,80,6,361,316597,53
23920,443,6,85,90355,113
61108,443,17,304,225264,78
60570,3389,6,259,338513,53
61070,3389,17,73,101032,106
3265,3389,6,110,93060,58
62367,443,6,81,89667,31
27221,22,6,312,443352,105
63465,80,17,37,15318,91
45257,443,17,326,217442,37
29556,80,6,264,77616,41
23752,22,17,298,166880,105
53287,53,6,148,13320,71
57666,3389,17,98,54390,40
3828,53,17,258,35862,78
11328,443,6,267,74226,79
18947,3389,17,291,362004,68
32177,443,6,133,12502,99
7196,80,6,40,11440,101
40054,443,6,169,34307,50
5124,53,6,191,110971,34
8648,80,6,28,5432,55
33268,22,17,71,49558,69
34149,80,17,274,191526,54
61936,53,6,128,189952,66
46964,22,6,357,184569,52
13972,3389,6,362,300098,84
5360,80,17,440,412280,57
60980,3389,17,481,455988,41
52716,3389,17,428,184896,51
29031,22,17,182,114114,116
53932,80,17,246,347106,53
39697,80,6,168,247800,89
6066,80,17,18,12132,120
2454,53,6,151,208229,64
27707,80,6,427,304878,37
20651,443,6,81,64719,78
57452,3389,6,40,22280,45
60236,53,6,290,322480,87
53260,53,6,36,2880,64
1445,80,6,90,4860,30
48006,80,6,131,157986,54
49366,53,17,92,122728,92
31481,22,17,94,117782,41
56937,22,17,76,73796,47
23239,22,17,212,246768,44
21455,53,17,365,237980,75
54267,80,6,206,191786,116
7717,80,17,352,157696,45
26203,22,6,93,122946,114
59324,3389,17,485,388000,118
61529,53,17,130,7150,33
34535,22,17,451,41943,117
28737,443,17,369,27675,43
4250,53,17,341,343046,117
22711,443,6,110,73480,115
57225,3389,17,472,625872,45
2750,3389,17,214,226840,118
36421,443,17,356,332504,50
8245,22,17,237,56643,104
58652,3389,17,460,21620,116
18764,53,17,218,87418,39
5220,22,17,125,87625,52
36506,80,6,305,164395,58
55420,80,6,342,303012,64
40557,80,17,364,271180,94
38278,3389,6,212,102820,41
4930,3389,17,264,203808,110
64103,80,6,496,274288,78
61895,80,6,300,21300,73
43659,22,17,342,422028,52
32379,80,17,423,367164,79
34669,53,6,497,95424,94
24722,80,17,209,152152,65
60269,53,17,1,212,61
35824,3389,6,251,73543,70
38748,22,17,357,61047,46
14431,3389,6,272,134912,55
53978,80,17,66,88770,31
52268,3389,17,29,5220,47
17140,80,6,356,89712,73
18489,22,6,400,144000,117
50886,3389,6,383,301804,86
26190,443,17,20,23260,104
8126,443,17,370,499500,48
64541,3389,6,450,369000,97
44001,22,17,452,347588,76
8880,3389,17,124,92876,36
8316,443,17,383,181542,71
58515,22,6,137,174401,85
1320,22,17,158,107440,59
32655,3389,6,487,214767,118
30069,443,6,348,95004,118
54947,3389,17,66,8184,65
37035,3389,6,447,459963,72
27643,80,17,21,16548,70
2372,443,17,488,462136,43
28194,22,17,219,270027,56
2158,443,17,498,444714,91
21115,3389,17,119,65331,60
40949,53,17,354,32214,68
58777,53,6,222,78588,54
59184,3389,6,466,112306,58
52843,443,17,228,310080,80
12654,443,17,435,282315,93
41689,80,6,8,5952,51
38503,443,6,138,47748,79
25098,80,6,2,580,54
36821,3389,6,347,302931,71
42936,22,17,136,134640,110
60503,3389,17,112,69888,108
21645,443,6,17,8755,61
54858,80,17,244,155672,74
41298,80,17,398,250740,34
63604,22,17,190,145540,34
18675,80,6,20,980,86
54762,3389,17,191,171900,71
28683,443,17,413,37583,83
30016,3389,6,409,519021,51
48452,80,6,21,12810,39
39051,443,6,191,239132,93
12095,443,6,458,136942,120
13688,53,6,198,297000,45
63790,443,6,366,521916,81
63878,22,6,275,389675,57
33059,80,17,233,82016,92
39848,443,17,417,549606,66
34979,443,6,440,95040,61
9183,443,17,232,81896,68
43051,443,6,140,70280,104
8635,443,17,59,43424,119
34403,3389,17,459,165240,70
59887,443,6,62,63178,34
53591,22,6,456,411768,65
37724,80,17,115,62330,78
39287,22,6,12,6876,104
34402,80,17,79,86505,43
3126,3389,6,306,82926,57
8162,53,6,87,31668,80
42554,443,6,398,435810,93
19515,53,17,372,547212,56
8992,80,17,149,93870,60
37724,53,6,458,608682,55
60908,80,17,366,386862,114
2329,443,6,166,224432,110
20695,80,6,70,74480,107
21044,80,6,107,12733,110
38584,80,17,123,41205,55
50612,53,6,196,86828,87
1946,22,17,413,317597,89
49476,22,17,142,80230,30
54660,80,17,319,106865,93
58926,53,17,186,267282,89
32911,443,6,365,276670,71
64616,80,17,245,23030,76
22130,443,6,120,49200,30
12669,53,17,338,67600,30
20785,3389,17,290,29000,77
4581,22,6,455,559650,83
45898,53,17,180,201420,49
28575,22,17,161,61985,115
40146,443,6,375,403125,46
62230,22,17,80,31040,56
55954,80,17,85,8245,117
14437,80,17,330,456720,48
8262,22,6,53,50774,63
5194,3389,17,331,369396,95
2592,53,6,305,421205,113
6281,53,6,265,302100,38
1766,3389,17,298,50660,83
23269,3389,6,130,92430,90
48361,22,17,478,425898,65
17091,443,17,207,211140,95
48866,443,6,44,48136,64
62810,22,6,282,372522,96
37734,80,17,63,66213,75
61104,3389,6,201,281199,77
10498,443,6,486,196344,38
38033,53,17,493,634984,33
60514,443,17,317,119826,65
50776,443,17,224,52640,93
30443,22,6,289,316455,108
37727,80,6,401,217342,104
33661,80,17,444,230880,50
45759,53,6,122,5124,70
39259,3389,6,379,174719,58
34789,3389,6,180,67860,31
11490,443,17,425,269875,107
13378,53,6,428,313724,58
11032,53,6,69,53406,74
22943,53,17,434,145824,79
51384,443,6,442,425646,106
36818,443,6,90,4860,42
50605,80,17,113,154245,96
54709,3389,6,497,245021,104
33961,80,6,158,76472,107
38773,443,17,464,586496,118
50959,443,6,141,96021,77
19034,3389,17,56,49336,49
29225,22,17,455,658385,50
41196,53,6,362,195480,109
33361,443,6,416,413088,47
32858,80,6,294,281358,91
1907,3389,6,355,192055,65
62979,53,17,143,151437,33
36293,3389,17,425,98175,47
40796,80,6,185,88985,88
46696,22,6,407,598697,104
59638,53,6,426,413220,67
56467,53,17,86,72670,53
29935,22,17,393,538803,104
47210,3389,6,255,255000,46
38546,22,17,198,56628,52
4506,3389,17,216,235224,77
35138,3389,6,83,46148,76
3665,53,6,371,328335,92
52192,3389,17,169,26026,85
47917,3389,17,370,91390,79
20408,80,6,142,147680,59
18206,80,17,64,79168,109
38191,443,6,10,1070,37
52052,3389,6,178,194376,100
61765,80,17,11,2838,35
58483,80,17,174,87870,33
57891,80,6,147,11613,44
30264,3389,6,315,292950,96
4796,80,6,382,198640,93
51800,53,6,31,29264,115
40335,22,17,172,235984,54
23518,22,17,234,334152,69
20263,80,17,237,296961,65
49663,80,17,207,176364,71
61862,3389,17,456,137256,68
36610,80,17,69,10695,40
56113,22,6,28,6944,64
44977,443,6,62,5084,41
56591,80,6,177,179832,74
14674,80,6,339,33222,35
46821,3389,17,492,350304,52
17934,443,17,4,892,115
22303,53,17,268,113364,117
42855,443,6,439,284911,49
54872,80,17,49,11466,63
19535,3389,17,308,88088,100
52289,80,17,142,188008,110
4101,53,6,220,103400,92
51497,53,6,413,480732,34
6114,80,6,439,356029,58
54351,53,17,413,206087,64
22642,53,17,21,29778,48
44525,22,6,489,503181,118
51567,3389,6,20,19900,102
45269,3389,17,202,47066,99
25406,80,17,498,39840,70
47847,53,6,74,72150,95
53048,22,17,147,117894,48
4238,80,6,108,43524,76
63267,443,17,120,128280,75
14967,443,17,191,193292,59
64350,53,6,278,17514,84
43961,443,17,66,64020,31
38738,443,17,209,129371,92
61192,53,6,225,38475,91
20852,53,6,203,282779,63
33551,53,17,281,107342,54
2224,80,6,113,54692,81
56047,443,6,248,35464,73
62321,80,17,29,12876,69
56145,53,6,204,177888,70
3956,80,6,302,156134,117
33377,53,6,360,519480,58
63373,3389,6,246,202458,67
29859,3389,6,166,106406,46
26281,53,6,297,115236,35
45839,22,17,444,80364,118
2671,3389,6,275,295900,60
11216,22,17,417,104667,88
51388,443,17,446,349664,36
59349,80,17,41,40426,114
29973,3389,17,388,573076,34
62197,80,17,174,158166,89
39878,80,6,181,218286,59
1694,3389,6,335,142375,73
62356,22,6,321,96621,115
60670,80,17,290,19430,71
27854,443,17,250,183750,53
16691,443,6,246,353748,112
24753,443,6,6,4740,96
40560,3389,17,302,258814,116
65535,22,6,72,22320,83
21225,443,6,370,54390,97
1249,22,6,188,274292,71
40077,3389,6,153,228123,79
37248,22,6,310,311550,85
24339,53,17,270,219510,85
53984,80,6,38,5510,90
26714,3389,6,445,248310,41
64461,80,17,379,173961,107
63279,22,17,289,267036,120
53258,53,17,467,417031,52
38638,22,17,38,17784,89
32220,22,6,155,106640,32
52687,443,17,218,201868,60
34886,22,17,268,83884,116
19066,80,6,389,434124,116
33191,53,17,112,32368,103
27712,53,6,301,447888,33
18840,3389,6,305,52765,101
45300,3389,17,42,13482,82
53294,80,6,127,185039,96
34016,53,17,107,56924,45
61876,80,17,382,61120,93
40584,53,17,415,329510,117
64966,53,6,445,173550,68
11745,443,6,373,59680,96
45052,443,6,416,477568,66
48024,80,17,438,549690,49
25122,443,6,8,8928,94
41088,53,6,102,92412,63
7993,22,6,162,94284,102
57079,80,17,434,529914,118
44768,443,6,348,214368,91
10673,3389,6,291,218541,48
23255,22,6,289,193630,54
32229,80,17,402,457878,95
28041,3389,17,318,33390,104
15266,3389,6,438,189216,66
18169,53,17,2,1396,36
16666,22,17,206,154294,110
21962,80,17,380,367840,62
42816,80,17,281,227610,107
41587,53,6,196,53116,104
3274,3389,6,258,158154,71
51610,22,17,475,329650,49
1701,3389,17,191,110780,36
3494,443,6,386,448532,105
3034,3389,6,79,88638,45
56385,80,17,246,87822,104
9730,80,17,187,27676,55
52123,80,17,408,347208,58
9206,53,17,230,209300,52
15217,22,17,458,102592,60
23146,22,6,219,146730,66
39961,22,6,459,152847,119
47712,53,6,342,141930,114
40166,3389,17,461,86207,118
3034,53,17,109,57661,59
6988,3389,17,256,249088,99
57909,3389,17,306,357102,71
11969,22,6,258,216204,112
45857,80,6,122,128832,35
64919,53,6,227,266271,114
43765,22,6,487,473851,103
8298,22,17,347,118327,91
44694,80,6,339,422394,72
9081,22,17,308,251328,52
52434,53,17,473,497123,109
50177,53,17,198,136224,96
17646,53,17,16,6288,108
38426,3389,6,411,427029,79
51070,22,6,472,110920,43
2601,22,17,287,177366,67
2732,22,6,67,57754,47
57475,22,6,137,153166,57
43676,22,17,477,629163,57
50878,443,6,21,19404,104
44535,443,6,339,268488,38
65261,80,17,319,454575,118
43793,443,17,345,297045,89
35502,22,6,161,99981,37
63478,80,6,451,573672,65
7076,80,6,386,84148,60
15030,53,6,187,40392,89
20356,22,6,351,462267,93
47044,22,6,239,309266,109
37516,53,17,88,129624,74
31023,22,6,86,82388,45
46675,443,17,374,205700,93
30217,53,6,266,105070,95
29358,3389,17,173,133383,61
36661,3389,17,31,36673,101
45770,3389,17,466,500484,92
49459,443,6,423,243225,72
40252,3389,17,206,224540,43
44364,3389,17,48,55536,89
22241,80,6,321,108498,104
53206,443,6,140,189840,60
22018,22,6,90,132480,60
46250,53,17,393,401253,60
55451,443,6,368,310592,44
37637,53,6,18,5094,46
37591,3389,6,248,163680,58
15259,80,17,409,164827,110
19370,80,17,256,20224,114
1045,443,6,228,99180,100
64207,3389,17,62,77252,107
48231,80,17,342,502056,33
15074,80,6,195,23400,105
50406,53,6,424,223448,116
3934,443,6,18,5508,36
10621,53,6,489,144255,71
30199,3389,6,277,362039,50
26797,443,17,144,58464,116
48555,22,17,198,62568,108
26203,443,6,309,43260,71
34263,80,6,229,265640,103
37542,53,17,157,49612,113
43363,53,17,311,152390,105
42569,53,17,378,112266,68
32710,22,6,136,132736,109
10904,53,17,117,76752,114
33214,80,17,273,366093,51
60642,22,6,188,221276,32
60222,80,17,393,31047,91
38471,22,17,286,48334,62
17115,3389,6,461,188088,111
32519,3389,17,431,290925,41
47084,80,6,352,137280,69
65466,3389,17,409,313703,67
43507,3389,6,443,123597,104
13830,22,6,73,55699,63
51115,443,6,225,100125,48
18596,80,6,477,506574,31
5656,443,6,167,111890,114
39391,3389,17,112,161504,99
6330,53,6,202,49692,77
50439,22,17,434,134974,48
7941,3389,6,70,44380,100
9143,22,17,420,412020,110
15972,3389,17,41,19352,114
53407,443,6,375,538875,38
62256,443,6,386,145522,106
45553,22,6,299,220961,118
41248,443,6,327,336483,88
8525,22,17,494,80522,56
3148,3389,6,303,207555,55
7838,53,6,352,474496,67
39472,3389,6,80,43680,84
22914,443,17,185,84730,79
11584,443,6,202,206444,31
17901,443,17,469,678643,50
63656,53,6,16,13056,39
54088,22,17,250,212000,31
37869,3389,17,165,151140,92
44221,80,6,192,145344,65
38896,53,6,296,345432,92
32494,22,6,60,43020,70
16884,3389,17,79,77578,61
41569,80,6,27,16875,53
20611,53,6,497,395115,68
19476,53,6,364,455364,64
29995,53,6,185,88060,64
36833,443,17,262,346102,72
10619,443,6,491,332407,97
47124,443,6,356,279104,41
51508,53,17,479,249559,76
44502,22,6,396,214632,46
48886,443,6,450,270900,117
57082,53,6,283,74712,101
7196,22,6,58,72036,98
13424,3389,6,212,49396,81
22728,22,17,256,104192,71
63911,80,6,273,216216,33
40962,22,17,80,91120,110
24879,443,17,266,362558,109
20246,22,6,426,505662,34
34754,3389,6,164,232224,85
26284,22,6,346,66432,103
32100,22,6,449,503778,76
61372,22,17,459,405297,55
41672,53,17,313,434444,40
47999,3389,6,7,5901,67
26781,22,17,132,126588,98
7181,80,17,243,241542,34
27512,80,6,271,220323,47
1231,22,6,325,143000,71
26482,443,6,316,144096,108
23370,53,17,19,20083,51
42469,80,17,382,553518,95
23903,3389,17,410,87740,84
33149,80,6,81,56214,104
23954,80,6,311,168873,30
3820,3389,17,432,35424,91
35182,443,17,412,434248,48
13211,443,6,251,42921,56
13555,443,17,150,186750,65
19765,80,17,242,94622,65
38323,53,17,170,179350,39
65394,22,6,221,93041,39
50077,3389,17,268,175808,87
52316,80,17,143,182039,113
46408,443,17,21,22575,77
22917,80,6,110,104280,67
31705,22,6,341,238359,99
36766,80,6,223,241955,46
3109,443,17,438,577284,47
18368,443,6,398,211338,66
56795,3389,17,79,47400,66
28853,22,17,284,44588,70
21655,53,6,212,82468,110
56610,53,6,204,139740,55
2560,80,6,52,49192,59
52107,80,6,315,372330,71
27985,80,6,345,465060,54
28624,3389,17,46,33902,48
38658,22,6,57,16986,60
57051,443,17,479,255786,56
40780,22,6,301,364812,57
30796,443,6,103,54075,100
27772,80,17,230,332580,115
61841,80,6,272,346528,85
36087,53,6,372,291276,51
24912,3389,17,488,696376,49
60693,22,17,207,94185,105
54077,3389,17,50,8700,41
60386,22,17,103,101867,56
37599,22,6,376,202288,70
54499,22,17,247,206739,50
49974,443,6,15,20955,46
59302,443,6,236,329456,107
51494,22,17,12,10320,113
61820,3389,17,194,283046,78
35577,443,17,69,42435,32
50281,22,6,11,11473,46
39350,3389,17,96,50016,82
36427,22,6,292,385148,73
52222,3389,17,74,48322,69
48775,80,17,55,47575,74
8940,443,17,33,31911,80
20682,53,17,208,104624,63
57275,443,17,392,397096,38
16479,53,6,81,120852,72
47391,443,17,356,171236,63
37667,3389,6,167,125083,87
41613,22,17,373,288329,64
44510,443,17,187,69003,82
23830,53,17,289,306629,102
35593,80,6,320,114560,78
36584,22,17,319,395879,32
62928,3389,17,74,111000,110
4359,3389,17,19,3553,79
3328,443,17,303,361479,88
50981,3389,17,188,189128,77
2758,443,6,464,23664,34
57418,22,6,190,234460,66
62913,443,17,84,61908,92
9947,53,17,103,50573,108
15274,80,17,17,14722,112
6545,3389,6,98,78204,55
27885,22,17,131,124843,110
20977,3389,6,499,593311,89
45036,22,6,252,131292,43
58602,3389,17,369,147969,38
6395,22,6,386,172542,44
17319,22,6,248,180296,57
56077,53,17,188,180480,95
34037,3389,17,243,18711,94
15165,3389,6,192,138816,115
58112,80,17,345,127995,60
41738,22,6,275,49775,111
38799,22,6,184,241224,72
17321,443,17,307,283054,70
23715,443,6,130,164190,69
64306,80,6,23,18929,72
14655,443,17,100,117500,82
25352,80,17,277,335447,88
50846,3389,6,149,43955,66
4430,443,6,210,108150,112
28426,3389,17,75,99975,74
11164,53,17,91,116389,76
60551,22,6,183,266814,103
61703,3389,6,333,131868,38
22151,3389,6,203,198534,54
46270,80,6,133,75145,67
57192,443,6,49,33761,83
24406,22,17,433,420010,57
23557,443,17,44,2948,71
41896,443,6,6,8994,54
48218,80,17,64,78080,116
33687,53,6,143,77363,89
27699,22,17,122,55754,108
46781,3389,6,122,22448,78
64831,22,17,301,40334,100
29293,22,17,43,36335,115
42087,443,6,311,192509,101
42444,22,6,260,66820,30
40297,22,17,403,109616,75
53629,3389,17,77,104566,114
37208,3389,17,203,138852,48
19110,22,6,168,197736,72
33275,443,6,391,492660,76
4906,3389,6,390,354510,44
18879,22,6,489,624453,56
39262,22,6,446,307740,105
54671,443,17,44,36168,73
14887,22,17,48,10608,105
39138,22,17,343,277144,49
62130,3389,17,338,351182,86
35389,443,17,210,21840,41
17016,3389,6,179,60860,43
43584,22,6,194,241336,89
10857,80,6,439,355151,53
58617,443,17,68,74528,109
58954,3389,6,436,362316,112
24091,443,17,199,50148,104
33265,3389,17,134,184250,36
57764,80,6,297,395604,31
30642,3389,6,161,36869,93
30997,22,6,68,39984,81
8534,443,17,129,15351,79
10931,53,6,208,143728,80
34913,80,6,194,19788,65
57691,22,6,338,89570,51
26876,80,6,120,174840,37
54997,53,17,451,582241,57
2979,80,17,89,24564,120
19699,3389,17,307,232706,65
20324,3389,17,353,210741,38
39598,80,17,319,267322,113
45843,53,17,420,451500,36
5470,3389,17,435,185310,112
62985,22,17,119,99722,94
14348,80,17,132,180180,42
64906,80,6,252,84168,58
15740,443,6,174,159558,97
31912,80,6,137,147001,46
1915,22,17,25,24275,84
9678,80,6,179,69094,114
21455,80,6,65,59020,95
29702,443,17,339,200688,83
58124,80,17,152,26752,78
15470,22,6,459,263925,35
45962,53,6,384,210048,97
30033,3389,6,138,192096,85
50004,22,17,351,71955,102
19307,53,6,106,46640,84
47266,22,6,159,176490,75
32933,443,17,489,622497,80
36364,3389,6,18,19890,75
9276,22,17,296,13024,84
52577,3389,6,267,262995,93
42904,22,17,493,227766,70
33296,3389,17,39,17082,66
49739,80,6,292,143664,102
38554,443,6,373,314812,74
34715,80,17,73,38690,89
39188,53,6,149,192955,61
42862,3389,17,57,7182,41
48335,53,6,132,133056,80
19884,3389,17,159,11130,96
21704,53,17,360,365040,62
27322,3389,17,271,304875,53
62546,3389,6,34,19992,117
36103,22,6,93,126201,44
45410,22,17,137,56170,78
